x, y
0,0
7.180851064,0
19.14893617,0
19.15893617,0
20.34574468,-73.17073171
26.32978723,-207.3170732
29.92021277,-243.902439
29.93021277,-243.902439
32.31382979,-390.2439024
32.32382979,-390.2439024
39.49468085,-487.804878
45.4787234,-475.6097561
45.4887234,-475.6097561
52.65957447,-475.6097561
59.84042553,-475.6097561
63.43085106,-621.9512195
63.44085106,-621.9512195
64.62765957,-548.7804878
67.0212766,-463.4146341
68.21808511,-390.2439024
70.61170213,-317.0731707
71.80851064,-304.8780488
71.81851064,-304.8780488
69.41489362,-219.5121951
75.39893617,-414.6341463
74.20212766,-487.804878
75.39893617,-634.1463415
75.40893617,-634.1463415
83.77659574,-658.5365854
93.35106383,-646.3414634
105.3191489,-646.3414634
114.893617,-634.1463415
123.2712766,-621.9512195
131.6489362,-634.1463415
140.0265957,-597.5609756
149.6010638,-597.5609756
151.9946809,-731.7073171
155.5851064,-658.5365854
156.7819149,-536.5853659
159.1755319,-451.2195122
161.5691489,-341.4634146
163.962766,-512.195122
163.972766,-621.9512195
165.1595745,-719.5121951
174.7340426,-707.3170732
185.5053191,-670.7317073
185.5153191,-670.7317073
189.0957447,-743.902439
191.4893617,-817.0731707
196.2765957,-695.1219512
198.6702128,-621.9512195
202.2606383,-524.3902439
207.0478723,-439.0243902
209.4414894,-353.6585366
211.8351064,-243.902439
214.2287234,-158.5365854
219.0159574,-48.7804878
227.393617,0
236.9680851,-12.19512195
246.5425532,-24.3902439
260.9042553,0
272.8723404,12.19512195
287.2340426,0
299.2021277,-12.19512195
311.1702128,0
323.1382979,12.19512195
336.3031915,0
347.0744681,0
357.8457447,-12.19512195
367.4202128,-12.19512195
379.3882979,-12.19512195
393.75,0
405.7180851,-12.19512195
417.6861702,0
430.8510638,0
441.6223404,-12.19512195
451.1968085,0
464.3617021,-12.19512195
472.7393617,-12.19512195
489.4946809,48.7804878
489.5046809,48.7804878
499.0691489,73.17073171
497.8723404,170.7317073
499.0691489,268.2926829
505.0531915,353.6585366
505.0631915,487.804878
506.25,597.5609756
507.4468085,731.7073171
509.8404255,841.4634146
512.2340426,963.4146341
513.4308511,1073.170732
515.8244681,1146.341463
520.6117021,1097.560976
520.6217021,1219.512195
525.3989362,1365.853659
527.7925532,1280.487805
530.1861702,1170.731707
534.9734043,1243.902439
542.1542553,1317.073171
548.1382979,1219.512195
548.1482979,1109.756098
549.3351064,987.804878
554.1223404,1182.926829
556.5159574,1280.487805
556.5259574,1402.439024
561.3031915,1182.926829
562.5,951.2195122
568.4840426,1121.95122
572.0744681,1048.780488
574.4680851,1170.731707
581.6489362,1134.146341
588.8297872,1195.121951
599.6010638,1195.121951
611.5691489,1207.317073
621.143617,1219.512195
633.1117021,1219.512195
639.0957447,1121.95122
640.2925532,1036.585366
642.6861702,926.8292683
645.0797872,1182.926829
647.4734043,1280.487805
651.0638298,1121.95122
651.0738298,1012.195122
659.4414894,939.0243902
653.4574468,817.0731707
659.4414894,939.0243902
664.2287234,1024.390244
671.4095745,1000
680.9840426,1048.780488
683.3776596,914.6341463
685.7712766,768.2926829
688.1648936,609.7560976
694.1489362,524.3902439
698.9361702,426.8292683
701.3297872,280.4878049
703.7234043,146.3414634
710.9042553,60.97560976
722.8723404,48.7804878
733.643617,60.97560976
745.6117021,48.7804878
756.3829787,-12.19512195
769.5478723,-12.19512195
788.6968085,-12.19512195
807.8457447,-12.19512195
825.7978723,0
842.5531915,0
859.3085106,-12.19512195
878.4574468,-12.19512195
903.5904255,0
920.3457447,0
943.0851064,-12.19512195
962.2340426,0